Material_replace,Material,Precursor,Conjugated microporous polymer,Activation agent,Activation temperature_°C,BET surface area_m2/g,Total pore volume_cm3/g,CO2 uptake_mmol/g_25°C,Adsorption pressure_bar,Reference,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Pomegranate peels,,KOH,700,585,0.28,4.11,1,"(Serafin et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Carrot peels,,KOH,700,1379,0.58,4.18,1,"(Serafin et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Fern leaves,,KOH,700,1593,0.74,4.12,1,"(Serafin et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Black locust,,KOH,830,2064,0.98,3.75,1,"(Zhang et al., 2016)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Rice husk char,,KOH,780,2965,1.14,3.71,1,"(Li et al., 2015a)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Rice husk char,,KOH,640,774,0.41,3.53,1,"(Li et al., 2015a)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Rice husk char,,KOH,710,1041,0.53,4.16,1,"(Li et al., 2015a)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Rice husk char,,KOH,780,1199,0.48,3.87,1,"(Li et al., 2015a)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Longan shell,,KOH,800,3139,2.5,3.4,1,"(Wei et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Paulownia sawdust,,KOH,700,1643,0.857,5.8,1,"(Zhu et al., 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Argan hard shells,,NaOH,850,1827,0.96,3.73,1,"(Boujibar et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Argan hard shells,,KOH,850,2251,1.04,5.51,1,"(Boujibar et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Wooden chopstick,,KOH,700,,,2.63,1,"(Phadungbut et al., 2022)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Polypodium vulgare,,KOH,800,1994,0.998,5.67,1,"(Serafin et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Common oak leader,,KOH,700,1842,0.91,5.67,1,"(Serafin and Cruz, 2022)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Walnut shell,,KOH,800,1868,1.06,5.17,1,"(Serafin et al., 2023)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Palm date seeds,,KOH,900,1906,1.06,5.44,1,"(Alazmi et al., 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Palm date seeds,,KOH,900,2335,1.54,4.67,1,"(Alazmi et al., 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Palm date seeds,,H3PO4,900,1439,0.6,4.4,1,"(Alazmi et al., 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Palm date seeds,,H3PO5,900,1218,0.5,4,1,"(Alazmi et al., 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,600,645,0.26,3.45,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,600,740,0.3,3.65,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,700,1259,0.52,4.33,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,700,1476,0.61,4.54,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,800,1692,0.71,4.46,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Spent coffee ground,,K2CO3,800,2337,1.15,3.78,1,"(Kim et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Pine sawdust,,KOH,700,1728.66,0.7,4.21,1,"(Gao, Su and Gao, 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Pine sawdust,,KOH,800,2279.52,0.99,3.46,1,"(Gao, Su and Gao, 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Pine sawdust,,KOH,900,2330.89,1.91,2.45,1,"(Gao, Su and Gao, 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Date,,KOH,800,2112,0.94,4.18,1,"(Li et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Date,,KOH,800,3255,1.65,3.35,1,"(Li et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Date,,KOH,800,3337,2.05,2.9,1,"(Li et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Date,,KOH,800,1634,0.76,4.14,1,"(Li et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Date,,KOH,800,2367,1.15,4.36,1,"(Li et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Date,,KOH,800,2844,1.63,3.65,1,"(Li et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Garlic peel,,KOH,700,1049,0.69,3.8,1,"(Huang et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Garlic peel,,KOH,700,1248,0.68,4.1,1,"(Huang et al., 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Banana stems,,,700,909,0.44,3.2,1,"(Sivadas, Damodaran and Raghavan, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Banana fiber,,,500,1260,0.81,5,1,"(Sivadas, Damodaran and Raghavan, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Glucose,,KOH,500,972,0.49,3.01,1,"(Sun, Yang and Li, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Glucose,,KOH,600,1515,0.9,4.19,1,"(Sun, Yang and Li, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Glucose,,KOH,700,1815,1.02,3.91,1,"(Sun, Yang and Li, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Glucose,,KOH,800,2305,1.12,3.96,1,"(Sun, Yang and Li, 2019)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Peanut shell,,KOH,680,1713,0.73,4.41,1,"(Li et al., 2015b)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Peanut shell,,KOH,730,1893,0.79,4.22,1,"(Li et al., 2015b)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Peanut shell,,KOH,780,1871,0.8,3.92,1,"(Li et al., 2015b)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Sawdust,,KOH,600,1511,0.65,4.3,1,"(Hirst, Taylor and Mokaya, 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Sawdust,,KOH,700,1830,0.78,4.9,1,"(Hirst, Taylor and Mokaya, 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Sawdust,,KOH,800,2163,0.93,4.7,1,"(Hirst, Taylor and Mokaya, 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,Sawdust,,KOH,800,2610,1.15,4,1,"(Hirst, Taylor and Mokaya, 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,40% food waste + 60% wood,,KOH,850,841.3,0.36,3.23,1,"(Igalavithana et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Carbon based,40% food waste + 60% wood,,KOH,850,667.4,0.29,2.73,1,"(Igalavithana et al., 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),Flexible microporous MOF,,,,,,1.11,1,"(Wu et al., 2010)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),2D MOF,,,,340.8,,1.9,1,"(Yan et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),Hydrated 6.5 wt%-Mg-MOF-74,,,,,,6.18,1,"(Yu and Balbuena, 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),Hydrated 13 wt%-Mg-MOF-74,,,,,,4.73,1,"(Yu and Balbuena, 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),SNU-1100,,,,411,0.248,0.58,1,"(Hong and Suh, 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),Noninterpenetrated-SNU-700',,,,5290,2.17,0.8,1,"(Prasad and Suh, 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),Interpenetrated-SNU-710',,,,1770,0.709,1.05,1,"(Prasad and Suh, 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),ZNJU-43a,,,,2243,0.8943,4.6,1,"(Song et al., 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),UPC-105,,,,2082,,2.37,1,"(Fan et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),UPC-106,,,,1984,,2.42,1,"(Fan et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),UPC-107,,,,1865,,2.06,1,"(Fan et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),UPC-108,,,,1837,,2.04,1,"(Fan et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),UPC-109,,,,1601,,1.08,1,"(Fan et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),UPC-110,,,,1384,,1.08,1,"(Fan et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),UPC-111,,,,1732,,1.88,1,"(Fan et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),UPC-112,,,,1559,,1.83,1,"(Fan et al., 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),pt-UiO-66(Zr)(OH)2,,,,1230,,5.63,1,"(Hu et al., 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),ZNJU-19,,,,2165,0.882,4.75,1,"(Xu et al., 2020b)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),ZNJU-20,,,,2154,0.902,4.63,1,"(Xu et al., 2020b)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),SNU-77H,,,,3670,1.52,0.89,1,"(Park et al., 2011)",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Metal-organic frameworks (MOFs),HCM-Cu3(BTC)2/Hierarchical porous carbon monoliths,,,,516,0.26,2.75,1,"(Qian et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP@1,,,346,0.22,1.03,1,"(Xu et al., 2020a)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP@2,,,325,0.6,1.47,1,"(Xu et al., 2020a)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP@3,,,343,0.7,0.71,1,"(Xu et al., 2020a)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP,,,772,1.21,1.61,1,"(Xie et al., 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,Co-CMP,,,965,2.81,1.8,1,"(Xie et al., 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,Al-CMP,,,798,1.41,1.74,1,"(Xie et al., 2013)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,ZnPe50%F-CMPs,,,240,0.376,2.05,1,"(Cui, Yao and Xu, 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP-1,,,837,0.45,1.18,1,"(Dawson, Adams and Cooper, 2011)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP-1 COOH,,,522,0.3,1.6,1,"(Dawson, Adams and Cooper, 2011)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP-1-(CH3)2,,,899,0.75,0.94,1,"(Dawson, Adams and Cooper, 2011)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP-1-(OH)2,,,1043,0.71,1.07,1,"(Dawson, Adams and Cooper, 2011)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,NCMP-2,,,900,0.55,1.15,1,"(Jiang et al., 2009)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,TCMP-0,,,963,0.98,1.34,1,"(Ren et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,TNCMP-2,,,995,0.55,1.45,1,"(Ren et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,TCMP-3,,,961,0.36,1.26,1,"(Ren et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,TCMP-5,,,494,0.51,1.22,1,"(Ren et al., 2012)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP-0,,,1018,0.56,1.21,1,"(Jiang et al., 2008)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP-3,,,522,0.26,0.68,1,"(Jiang et al., 2008)",,,,,,,,,,,,,,,,,,,,,,,,,,
2,Microporous polymers,,CMP-5,,,512,0.47,0.68,1,"(Jiang et al., 2008)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
